"X1","X2"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Christopher Oveis"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Michelle N Shiota"
"Adam B Cohen","Jonathan Haidt"
"Adam B Cohen","Dacher Keltner"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Juliet L Stamper"
"Dacher Keltner","W Thomas Boyce"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Juliet L Stamper"
"Dacher Keltner","W Thomas Boyce"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Juliet L Stamper"
"Dacher Keltner","W Thomas Boyce"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Michelle N Shiota"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Michelle N Shiota"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Michelle N Shiota"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Juliet L Stamper"
"Dacher Keltner","W Thomas Boyce"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Juliet L Stamper"
"Dacher Keltner","W Thomas Boyce"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Juliet L Stamper"
"Dacher Keltner","W Thomas Boyce"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Michelle N Shiota"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Michelle N Shiota"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Michelle N Shiota"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","E J Horberg"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Sarina Rodrigues"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","E J Horberg"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","E J Horberg"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Sheri L Johnson"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Emily A Impett"
"Dacher Keltner","Aleksandr Kogan"
"Dacher Keltner","Tammy English"
"Dacher Keltner","Oliver John"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Amie M Gordon"
"Dacher Keltner","Aleksandr Kogan"
"Dacher Keltner","Laura R Saslow"
"Dacher Keltner","Emily A Impett"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Sarina Rodrigues Saturn"
"Dacher Keltner","Aleksandr Kogan"
"Dacher Keltner","Laura R Saslow"
"Dacher Keltner","Emily A Impett"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Sarina Rodrigues Saturn"
"Dacher Keltner","Amie M Gordon"
"Dacher Keltner","Emily A Impett"
"Dacher Keltner","Aleksandr Kogan"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Juliet L Stamper"
"Dacher Keltner","W Thomas Boyce"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Juliet L Stamper"
"Dacher Keltner","W Thomas Boyce"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Juliet L Stamper"
"Dacher Keltner","W Thomas Boyce"
"Dacher Keltner","Aleksandr Kogan"
"Dacher Keltner","Emily A Impett"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Bryant Hui"
"Dacher Keltner","Amie M Gordon"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Michelle N Shiota"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Michelle N Shiota"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Adam B Cohen"
"Dacher Keltner","June Gruber"
"Dacher Keltner","Michelle N Shiota"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Gerben A Van Kleef"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Ilmo Van Der LÃ¶we"
"Dacher Keltner","Aleksandr LuoKogan"
"Dacher Keltner","Jennifer Goetz"
"Dacher Keltner","Emily A Impett"
"Dacher Keltner","Amie M Gordon"
"Dacher Keltner","Aleksandr Kogan"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Shelly L Gable"
"Dacher Keltner","StÃ©phane CÃ´tÃ©"
"Dacher Keltner","Michael W Kraus"
"Dacher Keltner","Bonnie Hayden Cheng"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Ilmo Van Der LÃ¶we"
"Dacher Keltner","Hua Lian"
"Dacher Keltner","Paul Ekman"
"Dacher Keltner","Cameron Anderson"
"Dacher Keltner","Cameron Anderson"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","LeeAnne Harker"
"Dacher Keltner","George Bonanno"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Jennifer S Lerner"
"Dacher Keltner","Jennifer S Beer"
"Dacher Keltner","Robert J Robinson"
"Dacher Keltner","David H Ebenbach"
"Dacher Keltner","James J Gross"
"Dacher Keltner","Sarina M Rodrigues"
"Dacher Keltner","Laura R Saslow"
"Dacher Keltner","Natalia Garcia"
"Dacher Keltner","Oliver P John"
"Dacher Keltner","Aleksandr Kogan"
"Dacher Keltner","Laura R Saslow"
"Dacher Keltner","Emily A Impett"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Sarina Rodrigues Saturn"
"Dacher Keltner","Aleksandr Kogan"
"Dacher Keltner","Laura R Saslow"
"Dacher Keltner","Emily A Impett"
"Dacher Keltner","Christopher Oveis"
"Dacher Keltner","Sarina Rodrigues Saturn"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Dacher Keltner"
"Dacher Keltner","Jonathan Haidt"
"Dacher Keltner","Jonathan Haidt"
"William A Cunningham","June Gruber"
"William A Cunningham","Tabitha Kirkland"
"William A Cunningham","Aleena C Hay"
"William A Cunningham","June Gruber"
"William A Cunningham","William A Cunningham"
"William A Cunningham","Tabitha Kirkland"
"William A Cunningham","Aleena C Hay"
"William A Cunningham","June Gruber"
"William A Cunningham","William A Cunningham"
"William A Cunningham","Tabitha Kirkland"
"William A Cunningham","Aleena C Hay"
"William A Cunningham","June Gruber"
"William A Cunningham","Tabitha Kirkland"
"William A Cunningham","Aleena C Hay"
"Tabitha Kirkland","June Gruber"
"Tabitha Kirkland","William A Cunningham"
"Tabitha Kirkland","Aleena C Hay"
"Tabitha Kirkland","June Gruber"
"Tabitha Kirkland","William A Cunningham"
"Tabitha Kirkland","Tabitha Kirkland"
"Tabitha Kirkland","Aleena C Hay"
"Tabitha Kirkland","June Gruber"
"Tabitha Kirkland","William A Cunningham"
"Tabitha Kirkland","Tabitha Kirkland"
"Tabitha Kirkland","Aleena C Hay"
"Tabitha Kirkland","June Gruber"
"Tabitha Kirkland","William A Cunningham"
"Tabitha Kirkland","Aleena C Hay"
"Aleena C Hay","June Gruber"
"Aleena C Hay","William A Cunningham"
"Aleena C Hay","Tabitha Kirkland"
"Aleena C Hay","June Gruber"
"Aleena C Hay","William A Cunningham"
"Aleena C Hay","Tabitha Kirkland"
"Aleena C Hay","Aleena C Hay"
"Aleena C Hay","June Gruber"
"Aleena C Hay","William A Cunningham"
"Aleena C Hay","Tabitha Kirkland"
"Aleena C Hay","Aleena C Hay"
"Aleena C Hay","June Gruber"
"Aleena C Hay","William A Cunningham"
"Aleena C Hay","Tabitha Kirkland"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Juliet L Stamper"
"Christopher Oveis","W Thomas Boyce"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Juliet L Stamper"
"Christopher Oveis","W Thomas Boyce"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Juliet L Stamper"
"Christopher Oveis","W Thomas Boyce"
"Christopher Oveis","Adam B Cohen"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Michelle N Shiota"
"Christopher Oveis","Jonathan Haidt"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Adam B Cohen"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Michelle N Shiota"
"Christopher Oveis","Jonathan Haidt"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Adam B Cohen"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Michelle N Shiota"
"Christopher Oveis","Jonathan Haidt"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Juliet L Stamper"
"Christopher Oveis","W Thomas Boyce"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Juliet L Stamper"
"Christopher Oveis","W Thomas Boyce"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Juliet L Stamper"
"Christopher Oveis","W Thomas Boyce"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Adam B Cohen"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Michelle N Shiota"
"Christopher Oveis","Jonathan Haidt"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Adam B Cohen"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Michelle N Shiota"
"Christopher Oveis","Jonathan Haidt"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Adam B Cohen"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Michelle N Shiota"
"Christopher Oveis","Jonathan Haidt"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","E J Horberg"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sarina Rodrigues"
"Christopher Oveis","E J Horberg"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","E J Horberg"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Adam B Cohen"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Sheri L Johnson"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Emily A Impett"
"Christopher Oveis","Aleksandr Kogan"
"Christopher Oveis","Tammy English"
"Christopher Oveis","Oliver John"
"Christopher Oveis","Amie M Gordon"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Aleksandr Kogan"
"Christopher Oveis","Laura R Saslow"
"Christopher Oveis","Emily A Impett"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sarina Rodrigues Saturn"
"Christopher Oveis","Aleksandr Kogan"
"Christopher Oveis","Laura R Saslow"
"Christopher Oveis","Emily A Impett"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sarina Rodrigues Saturn"
"Christopher Oveis","Amie M Gordon"
"Christopher Oveis","Emily A Impett"
"Christopher Oveis","Aleksandr Kogan"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Juliet L Stamper"
"Christopher Oveis","W Thomas Boyce"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Juliet L Stamper"
"Christopher Oveis","W Thomas Boyce"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Juliet L Stamper"
"Christopher Oveis","W Thomas Boyce"
"Christopher Oveis","Aleksandr Kogan"
"Christopher Oveis","Emily A Impett"
"Christopher Oveis","Bryant Hui"
"Christopher Oveis","Amie M Gordon"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Adam B Cohen"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Michelle N Shiota"
"Christopher Oveis","Jonathan Haidt"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Adam B Cohen"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Michelle N Shiota"
"Christopher Oveis","Jonathan Haidt"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Adam B Cohen"
"Christopher Oveis","June Gruber"
"Christopher Oveis","Michelle N Shiota"
"Christopher Oveis","Jonathan Haidt"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Gerben A Van Kleef"
"Christopher Oveis","Ilmo Van Der LÃ¶we"
"Christopher Oveis","Aleksandr LuoKogan"
"Christopher Oveis","Jennifer Goetz"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Emily A Impett"
"Christopher Oveis","Amie M Gordon"
"Christopher Oveis","Aleksandr Kogan"
"Christopher Oveis","Shelly L Gable"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Gary D Sherman"
"Christopher Oveis","Jooa J Lee"
"Christopher Oveis","Amy J C Cuddy"
"Christopher Oveis","Jonathan Renshon"
"Christopher Oveis","James J Gross"
"Christopher Oveis","Jennifer S Lerner"
"Christopher Oveis","StÃ©phane CÃ´tÃ©"
"Christopher Oveis","Michael W Kraus"
"Christopher Oveis","Bonnie Hayden Cheng"
"Christopher Oveis","Ilmo Van Der LÃ¶we"
"Christopher Oveis","Hua Lian"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Aleksandr Kogan"
"Christopher Oveis","Laura R Saslow"
"Christopher Oveis","Emily A Impett"
"Christopher Oveis","Christopher Oveis"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sarina Rodrigues Saturn"
"Christopher Oveis","Aleksandr Kogan"
"Christopher Oveis","Laura R Saslow"
"Christopher Oveis","Emily A Impett"
"Christopher Oveis","Dacher Keltner"
"Christopher Oveis","Sarina Rodrigues Saturn"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","Lisa S Talbot"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Katherine A Kaplan"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Katherine A Kaplan"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","Lisa S Talbot"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Susan Stone"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Ilana S Hairston"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Lisa S Talbot"
"Lisa S Talbot","Susan Stone"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Ilana S Hairston"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","Lisa S Talbot"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Katherine A Kaplan"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","Lisa S Talbot"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Katherine A Kaplan"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Lisa S Talbot"
"Lisa S Talbot","Susan Stone"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Ilana S Hairston"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","Allison G Harvey"
"Lisa S Talbot","Susan Stone"
"Lisa S Talbot","June Gruber"
"Lisa S Talbot","Ilana S Hairston"
"Lisa S Talbot","Polina Eidelman"
"Lisa S Talbot","Allison G Harvey"
"James J Gross","June Gruber"
"James J Gross","Allison G Harvey"
"James J Gross","June Gruber"
"James J Gross","Allison G Harvey"
"James J Gross","James J Gross"
"James J Gross","June Gruber"
"James J Gross","Allison G Harvey"
"James J Gross","James J Gross"
"James J Gross","June Gruber"
"James J Gross","Allison G Harvey"
"James J Gross","Gary D Sherman"
"James J Gross","Jooa J Lee"
"James J Gross","Amy J C Cuddy"
"James J Gross","Jonathan Renshon"
"James J Gross","Christopher Oveis"
"James J Gross","Jennifer S Lerner"
"James J Gross","Dacher Keltner"
"Cornelia Hunke","Wei-June Chen"
"Cornelia Hunke","Hans-Jochen SchÃ¤fer"
"Cornelia Hunke","Gerhard GrÃ¼ber"
"Cornelia Hunke","Cornelia Hunke"
"Cornelia Hunke","Wei-June Chen"
"Cornelia Hunke","Hans-Jochen SchÃ¤fer"
"Cornelia Hunke","Gerhard GrÃ¼ber"
"Cornelia Hunke","Cornelia Hunke"
"Cornelia Hunke","Wei-June Chen"
"Cornelia Hunke","Hans-Jochen SchÃ¤fer"
"Cornelia Hunke","Gerhard GrÃ¼ber"
"Cornelia Hunke","Wei-June Chen"
"Cornelia Hunke","Hans-Jochen SchÃ¤fer"
"Cornelia Hunke","Gerhard GrÃ¼ber"
"Wei-June Chen","Cornelia Hunke"
"Wei-June Chen","Hans-Jochen SchÃ¤fer"
"Wei-June Chen","Gerhard GrÃ¼ber"
"Wei-June Chen","Cornelia Hunke"
"Wei-June Chen","Wei-June Chen"
"Wei-June Chen","Hans-Jochen SchÃ¤fer"
"Wei-June Chen","Gerhard GrÃ¼ber"
"Wei-June Chen","Cornelia Hunke"
"Wei-June Chen","Wei-June Chen"
"Wei-June Chen","Hans-Jochen SchÃ¤fer"
"Wei-June Chen","Gerhard GrÃ¼ber"
"Wei-June Chen","Cornelia Hunke"
"Wei-June Chen","Hans-Jochen SchÃ¤fer"
"Wei-June Chen","Gerhard GrÃ¼ber"
"Hans-Jochen SchÃ¤fer","Cornelia Hunke"
"Hans-Jochen SchÃ¤fer","Wei-June Chen"
"Hans-Jochen SchÃ¤fer","Gerhard GrÃ¼ber"
"Hans-Jochen SchÃ¤fer","Cornelia Hunke"
"Hans-Jochen SchÃ¤fer","Wei-June Chen"
"Hans-Jochen SchÃ¤fer","Hans-Jochen SchÃ¤fer"
"Hans-Jochen SchÃ¤fer","Gerhard GrÃ¼ber"
"Hans-Jochen SchÃ¤fer","Cornelia Hunke"
"Hans-Jochen SchÃ¤fer","Wei-June Chen"
"Hans-Jochen SchÃ¤fer","Hans-Jochen SchÃ¤fer"
"Hans-Jochen SchÃ¤fer","Gerhard GrÃ¼ber"
"Hans-Jochen SchÃ¤fer","Cornelia Hunke"
"Hans-Jochen SchÃ¤fer","Wei-June Chen"
"Hans-Jochen SchÃ¤fer","Gerhard GrÃ¼ber"
"Gerhard GrÃ¼ber","Cornelia Hunke"
"Gerhard GrÃ¼ber","Wei-June Chen"
"Gerhard GrÃ¼ber","Hans-Jochen SchÃ¤fer"
"Gerhard GrÃ¼ber","Cornelia Hunke"
"Gerhard GrÃ¼ber","Wei-June Chen"
"Gerhard GrÃ¼ber","Hans-Jochen SchÃ¤fer"
"Gerhard GrÃ¼ber","Gerhard GrÃ¼ber"
"Gerhard GrÃ¼ber","Cornelia Hunke"
"Gerhard GrÃ¼ber","Wei-June Chen"
"Gerhard GrÃ¼ber","Hans-Jochen SchÃ¤fer"
"Gerhard GrÃ¼ber","Gerhard GrÃ¼ber"
"Gerhard GrÃ¼ber","Cornelia Hunke"
"Gerhard GrÃ¼ber","Wei-June Chen"
"Gerhard GrÃ¼ber","Hans-Jochen SchÃ¤fer"
"Katherine A Kaplan","June Gruber"
"Katherine A Kaplan","Polina Eidelman"
"Katherine A Kaplan","Lisa S Talbot"
"Katherine A Kaplan","Allison G Harvey"
"Katherine A Kaplan","Katherine A Kaplan"
"Katherine A Kaplan","June Gruber"
"Katherine A Kaplan","Polina Eidelman"
"Katherine A Kaplan","Lisa S Talbot"
"Katherine A Kaplan","Allison G Harvey"
"Katherine A Kaplan","Katherine A Kaplan"
"Katherine A Kaplan","June Gruber"
